start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked
2/21/25,16:00:00,2/21/25,17:00:00,0,16
2/21/25,17:00:00,2/21/25,18:00:00,0,20
2/21/25,18:00:00,2/21/25,19:00:00,0,12
2/21/25,19:00:00,2/21/25,20:00:00,0,16
2/21/25,20:00:00,2/21/25,21:00:00,0,9
2/21/25,21:00:00,2/21/25,22:00:00,0,4
2/21/25,22:00:00,2/21/25,23:00:00,0,11
2/21/25,23:00:00,2/21/25,24:00:00,574,13
2/22/25,00:00:00,2/22/25,01:00:00,0,10
2/22/25,01:00:00,2/22/25,02:00:00,0,1
2/22/25,02:00:00,2/22/25,03:00:00,0,1
2/22/25,03:00:00,2/22/25,04:00:00,0,0
2/22/25,04:00:00,2/22/25,05:00:00,0,0
2/22/25,05:00:00,2/22/25,06:00:00,0,2
2/22/25,06:00:00,2/22/25,07:00:00,0,0
2/22/25,07:00:00,2/22/25,08:00:00,0,0
2/22/25,08:00:00,2/22/25,09:00:00,0,0
2/22/25,09:00:00,2/22/25,10:00:00,0,0
2/22/25,10:00:00,2/22/25,11:00:00,0,6
2/22/25,11:00:00,2/22/25,12:00:00,0,7
2/22/25,12:00:00,2/22/25,13:00:00,0,8
2/22/25,13:00:00,2/22/25,14:00:00,0,1
2/22/25,14:00:00,2/22/25,15:00:00,0,3
2/22/25,15:00:00,2/22/25,16:00:00,0,4
2/22/25,16:00:00,2/22/25,17:00:00,0,4
2/22/25,17:00:00,2/22/25,18:00:00,0,2
2/22/25,18:00:00,2/22/25,19:00:00,0,1
2/22/25,19:00:00,2/22/25,20:00:00,0,8
2/22/25,20:00:00,2/22/25,21:00:00,0,4
2/22/25,21:00:00,2/22/25,22:00:00,0,4
2/22/25,22:00:00,2/22/25,23:00:00,0,5
2/22/25,23:00:00,2/22/25,24:00:00,313,6
2/23/25,00:00:00,2/23/25,01:00:00,0,10
2/23/25,01:00:00,2/23/25,02:00:00,0,8
2/23/25,02:00:00,2/23/25,03:00:00,0,1
2/23/25,03:00:00,2/23/25,04:00:00,0,0
2/23/25,04:00:00,2/23/25,05:00:00,0,3
2/23/25,05:00:00,2/23/25,06:00:00,0,2
2/23/25,06:00:00,2/23/25,07:00:00,0,1
2/23/25,07:00:00,2/23/25,08:00:00,0,6
2/23/25,08:00:00,2/23/25,09:00:00,0,2
2/23/25,09:00:00,2/23/25,10:00:00,0,0
2/23/25,10:00:00,2/23/25,11:00:00,0,0
2/23/25,11:00:00,2/23/25,12:00:00,0,0
2/23/25,12:00:00,2/23/25,13:00:00,0,0
2/23/25,13:00:00,2/23/25,14:00:00,0,0
2/23/25,14:00:00,2/23/25,15:00:00,0,0
2/23/25,15:00:00,2/23/25,16:00:00,0,0
2/23/25,16:00:00,2/23/25,17:00:00,0,0
2/23/25,17:00:00,2/23/25,18:00:00,0,0
2/23/25,18:00:00,2/23/25,19:00:00,0,0
2/23/25,19:00:00,2/23/25,20:00:00,0,0
2/23/25,20:00:00,2/23/25,21:00:00,0,0
2/23/25,21:00:00,2/23/25,22:00:00,0,0
2/23/25,22:00:00,2/23/25,23:00:00,0,0
2/23/25,23:00:00,2/23/25,24:00:00,351,0
2/24/25,00:00:00,2/24/25,01:00:00,0,0
2/24/25,01:00:00,2/24/25,02:00:00,0,0
2/24/25,02:00:00,2/24/25,03:00:00,0,0
2/24/25,03:00:00,2/24/25,04:00:00,0,0
2/24/25,04:00:00,2/24/25,05:00:00,0,0
2/24/25,05:00:00,2/24/25,06:00:00,0,0
2/24/25,06:00:00,2/24/25,07:00:00,0,0
2/24/25,07:00:00,2/24/25,08:00:00,0,0
2/24/25,08:00:00,2/24/25,09:00:00,0,0
2/24/25,09:00:00,2/24/25,10:00:00,0,0
2/24/25,10:00:00,2/24/25,11:00:00,0,0
2/24/25,11:00:00,2/24/25,12:00:00,0,0
2/24/25,12:00:00,2/24/25,13:00:00,0,0
2/24/25,13:00:00,2/24/25,14:00:00,0,0
2/24/25,14:00:00,2/24/25,15:00:00,0,0
2/24/25,15:00:00,2/24/25,16:00:00,0,0
2/24/25,16:00:00,2/24/25,17:00:00,0,0
2/24/25,17:00:00,2/24/25,18:00:00,0,0
2/24/25,18:00:00,2/24/25,19:00:00,0,0
2/24/25,19:00:00,2/24/25,20:00:00,0,0
2/24/25,20:00:00,2/24/25,21:00:00,0,1
2/24/25,21:00:00,2/24/25,22:00:00,0,0
2/24/25,22:00:00,2/24/25,23:00:00,0,0
2/24/25,23:00:00,2/24/25,24:00:00,278,0
2/25/25,00:00:00,2/25/25,01:00:00,0,0
2/25/25,01:00:00,2/25/25,02:00:00,0,0
2/25/25,02:00:00,2/25/25,03:00:00,0,1
2/25/25,03:00:00,2/25/25,04:00:00,0,0
2/25/25,04:00:00,2/25/25,05:00:00,0,0
2/25/25,05:00:00,2/25/25,06:00:00,0,0
2/25/25,06:00:00,2/25/25,07:00:00,0,1
2/25/25,07:00:00,2/25/25,08:00:00,0,0
