start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked,Manual_Review
3/13/25,03:00:00,3/13/25,04:00:00,2,0,0
3/13/25,04:00:00,3/13/25,05:00:00,8,8,1
3/13/25,05:00:00,3/13/25,06:00:00,4,0,0
3/13/25,06:00:00,3/13/25,07:00:00,2,0,0
3/13/25,07:00:00,3/13/25,08:00:00,0,0,0
3/13/25,08:00:00,3/13/25,09:00:00,0,0,0
3/13/25,09:00:00,3/13/25,10:00:00,4,0,0
3/13/25,10:00:00,3/13/25,11:00:00,2,0,0
3/13/25,11:00:00,3/13/25,12:00:00,0,0,0
3/13/25,12:00:00,3/13/25,13:00:00,5,0,0
3/13/25,13:00:00,3/13/25,14:00:00,12,9,1
3/13/25,14:00:00,3/13/25,15:00:00,5,0,0
3/13/25,15:00:00,3/13/25,16:00:00,22,19,1
3/13/25,16:00:00,3/13/25,17:00:00,16,12,1
3/13/25,17:00:00,3/13/25,18:00:00,21,17,1
3/13/25,18:00:00,3/13/25,19:00:00,16,14,1
3/13/25,19:00:00,3/13/25,20:00:00,16,12,1
3/13/25,20:00:00,3/13/25,21:00:00,38,34,1
3/13/25,21:00:00,3/13/25,22:00:00,21,17,1
3/13/25,22:00:00,3/13/25,23:00:00,0,0,0
3/13/25,23:00:00,3/13/25,24:00:00,0,0,0
3/14/25,00:00:00,3/14/25,01:00:00,0,0,0
3/14/25,01:00:00,3/14/25,02:00:00,3,0,0
3/14/25,02:00:00,3/14/25,03:00:00,9,5,1
3/14/25,03:00:00,3/14/25,04:00:00,6,0,0
3/14/25,04:00:00,3/14/25,05:00:00,4,1,1
3/14/25,05:00:00,3/14/25,06:00:00,0,0,0
3/14/25,06:00:00,3/14/25,07:00:00,1,0,0
3/14/25,07:00:00,3/14/25,08:00:00,4,2,1
3/14/25,08:00:00,3/14/25,09:00:00,8,0,0
3/14/25,09:00:00,3/14/25,10:00:00,1,0,0
3/14/25,10:00:00,3/14/25,11:00:00,1,0,0
3/14/25,11:00:00,3/14/25,12:00:00,6,0,0
3/14/25,12:00:00,3/14/25,13:00:00,1,0,0
3/14/25,13:00:00,3/14/25,14:00:00,1,0,0
3/14/25,14:00:00,3/14/25,15:00:00,3,0,0
3/14/25,15:00:00,3/14/25,16:00:00,1,0,0
3/14/25,16:00:00,3/14/25,17:00:00,36,34,1
3/14/25,17:00:00,3/14/25,18:00:00,61,57,1
3/14/25,18:00:00,3/14/25,19:00:00,101,100,1
3/14/25,19:00:00,3/14/25,20:00:00,66,64,1
3/14/25,20:00:00,3/14/25,21:00:00,15,13,1
3/14/25,21:00:00,3/14/25,22:00:00,2,0,0
3/14/25,22:00:00,3/14/25,23:00:00,2,0,0
3/14/25,23:00:00,3/14/25,24:00:00,7,0,0
3/15/25,00:00:00,3/15/25,01:00:00,7,0,0
3/15/25,01:00:00,3/15/25,02:00:00,4,3,1
3/15/25,02:00:00,3/15/25,03:00:00,13,12,1
3/15/25,03:00:00,3/15/25,04:00:00,17,4,1
3/15/25,04:00:00,3/15/25,05:00:00,2,0,0
3/15/25,05:00:00,3/15/25,06:00:00,3,0,2
3/15/25,06:00:00,3/15/25,07:00:00,3,0,0
3/15/25,07:00:00,3/15/25,08:00:00,5,0,0
3/15/25,08:00:00,3/15/25,09:00:00,2,0,0
3/15/25,09:00:00,3/15/25,10:00:00,7,0,0
3/15/25,10:00:00,3/15/25,11:00:00,4,0,0
3/15/25,11:00:00,3/15/25,12:00:00,0,0,0
3/15/25,12:00:00,3/15/25,13:00:00,3,0,2
3/15/25,13:00:00,3/15/25,14:00:00,2,0,0
3/15/25,14:00:00,3/15/25,15:00:00,1,0,0
3/15/25,15:00:00,3/15/25,16:00:00,0,0,0
